trade_id,user_id,trade_date,trade_time,ticker,side,qty,entry_price,exit_price,fees,realized_pnl,strategy,hold_time_sec,note,mood,manual_tags,screenshot_url,ft_outcome,ft_notional,ft_size_z,ft_prev_outcome_day,ft_same_ticker_as_prev_day,ft_immediate_after_prev,ft_day_trades_count,ft_day_pnl,ft_large_win,ft_large_loss
1,demo_user,2025-08-15,,MSFT,long,100.0,412.0,412.0,0.0,0.0,,,,,,,breakeven,41200.0,2.3279216929493574,,False,False,1,0.0,False,False
2,demo_user,2025-08-19,,NVDA,long,10.0,938.93,934.89,0.0,-40.399999999999636,,,,,,,loss,9389.3,-0.26887385349326015,,False,False,1,-40.399999999999636,False,True
3,demo_user,2025-08-20,,AAPL,long,10.0,193.85,189.05,0.0,-47.99999999999983,,,,,,,loss,1938.5,-0.877103293821032,,False,False,2,211.2000000000009,False,True
4,demo_user,2025-08-20,,NVDA,long,20.0,934.89,947.85,0.0,259.2000000000007,,,,,,,win,18697.8,0.4910047830680574,loss,False,True,2,211.2000000000009,False,False
5,demo_user,2025-08-21,,MSFT,long,50.0,415.73,427.25,0.0,575.9999999999991,,,,,,,win,20786.5,0.6615111490975599,,False,False,2,575.9999999999991,False,False
6,demo_user,2025-08-21,,TSLA,long,75.0,240.65,240.65,0.0,0.0,,,,,,,breakeven,18048.75,0.43802103390759944,win,False,True,2,575.9999999999991,False,False
7,demo_user,2025-08-22,,TSLA,long,75.0,226.88,226.88,0.0,0.0,,,,,,,breakeven,17016.0,0.35371479102113,,False,False,1,0.0,False,False
8,demo_user,2025-08-26,,TSLA,long,50.0,225.47,225.47,0.0,0.0,,,,,,,breakeven,11273.5,-0.11506138886320857,,False,False,1,0.0,False,False
9,demo_user,2025-08-27,,MSFT,long,50.0,415.73,440.62,0.0,1244.4999999999993,,,,,,,win,20786.5,0.6615111490975599,,False,False,1,1244.4999999999993,False,False
10,demo_user,2025-08-28,,MSFT,long,100.0,417.1,442.05,0.0,2494.999999999999,,,,,,,win,41710.0,2.3695544054858853,,False,False,2,2750.999999999999,True,False
11,demo_user,2025-08-28,,NVDA,short,50.0,947.85,942.73,0.0,256.0000000000002,,,,,,,win,47392.5,2.833432619189456,win,False,True,2,2750.999999999999,False,False
12,demo_user,2025-09-02,,MSFT,long,20.0,444.64,451.92,0.0,145.6000000000006,,,,,,,win,8892.8,-0.30940452363911547,,False,False,1,145.6000000000006,False,False
13,demo_user,2025-09-03,,AAPL,long,10.0,193.85,184.77,0.0,-90.79999999999984,,,,,,,loss,1938.5,-0.877103293821032,,False,False,1,-90.79999999999984,False,True
14,demo_user,2025-09-05,,AMD,long,10.0,138.54,138.54,0.0,0.0,,,,,,,breakeven,1385.3999999999999,-0.9222543787307451,,False,False,1,0.0,False,False
15,demo_user,2025-09-08,,MSFT,long,100.0,440.62,451.94,0.0,1131.9999999999993,,,,,,,win,44062.0,2.5615546797719917,,False,False,2,1488.9999999999986,False,False
16,demo_user,2025-09-08,,TSLA,long,100.0,242.13,245.7,0.0,356.9999999999993,,,,,,,win,24213.0,0.9412258344042532,win,False,True,2,1488.9999999999986,False,False
17,demo_user,2025-09-12,,MSFT,long,10.0,442.05,450.0,0.0,79.49999999999989,,,,,,,win,4420.5,-0.6744907594765952,,False,False,2,1672.5000000000005,False,False
18,demo_user,2025-09-12,,TSLA,long,100.0,245.7,261.63,0.0,1593.0000000000007,,,,,,,win,24570.0,0.9703687331798229,win,False,True,2,1672.5000000000005,True,False
19,demo_user,2025-09-16,,AAPL,short,10.0,184.77,184.97,0.0,-1.9999999999998863,,,,,,,loss,1847.7,-0.8845155493079275,,False,False,3,1590.9999999999977,False,False
20,demo_user,2025-09-16,,TSLA,long,50.0,253.66,269.59,0.0,796.4999999999989,,,,,,,win,12683.0,0.0,loss,False,True,3,1590.9999999999977,False,False
21,demo_user,2025-09-16,,TSLA,long,50.0,253.66,269.59,0.0,796.4999999999989,,,,,,,win,12683.0,0.0,win,True,True,3,1590.9999999999977,False,False
22,demo_user,2025-09-17,,NVDA,long,10.0,844.74,971.57,0.0,1268.3000000000004,,,,,,,win,8447.4,-0.34576375925435,,False,False,3,2190.9000000000065,True,False
23,demo_user,2025-09-17,,NVDA,long,10.0,921.99,971.57,0.0,495.8000000000004,,,,,,,win,9219.9,-0.2827024446769618,win,True,True,3,2190.9000000000065,False,False
24,demo_user,2025-09-17,,NVDA,long,55.0,963.81,971.57,0.0,426.80000000000575,,,,,,,win,53009.549999999996,3.291967968117505,win,True,True,3,2190.9000000000065,False,False
25,demo_user,2025-09-18,,MSFT,long,75.0,451.92,459.51,0.0,569.2499999999982,,,,,,,win,33894.0,1.7315126776711722,,False,False,1,569.2499999999982,False,False
26,demo_user,2025-09-19,,TSLA,long,25.0,273.4,273.4,0.0,0.0,,,,,,,breakeven,6834.999999999999,-0.4773884370855224,,False,False,1,0.0,False,False
27,demo_user,2025-09-24,,AMD,short,10.0,138.08,133.75,0.0,43.300000000000125,,,,,,,win,1380.8000000000002,-0.9226298894712708,,False,False,1,43.300000000000125,False,False
